Question Number,File Name,Emotion Tags,Descriptor Tags
1,100096-Door_stopper_vibrate_01-SFXBible-ss01820.wav,[],[]
2,100306-Mud_wet_squirt_splat_04-SFXBible-ss00996.wav,"['nervous', 'affection', 'unpleasent', 'blank']","['pitchy', 'cute', 'toy', 'bounce', 'squirt', 'spray', 'scary', 'squeck', 'piggy']"
3,101412-Engine_power_down_02-SFXBible-ss05922.wav,"['dropping', 'let-down', 'unfulfilled-expectations', 'relieved', 'pain', 'powering-down', 'mechanical']","['synthetic', 'lofi', 'sweetener', 'power-down', 'swirl', 'robotic', 'dying', 'petering-out', 'electronic-motor']"
4,105277-Sound_design_radio_accent_stinger_whooshes_dark_01-SFXBible-ss05055.wav,"['action', 'movement', 'speed', 'far-out', 'exciting', 'furious']","['transitional', 'whooshy', 'futuristic', 'artificial', 'zippy', 'movement']"
5,107395-Constant_rushing_sound_of_a_mountain_river-AOS00311-01.wav,"['alive', 'oppressive', 'peaceful', 'calm']","['naturalistic', 'rumbling', 'grainy', 'pure', 'soothing']"
6,118587-Servo_from_a_Skylift_driving_12.wav,[],[]
7,121400-Male_Voicedrone_Eb.wav,"['ominous', 'purposeful', 'impactful', 'enticing', 'exciting', 'open', 'peaceful', 'focussed', 'calm', 'approach', 'growing', 'strength', 'dark']","['vocal', 'tonal', 'harmonic', 'approaching', 'droney', 'reverberant', 'deep', 'resonant', 'harmonious', 'evolving', 'round', 'organic', 'synthetic']"
8,122929-Test_tone_pink_noise-01.wav,"['unpleasent', 'implacability', 'urgent', 'potentially-disastrous', 'intense', 'torrential']","['noisy', 'decibelly', 'vexatious']"
9,12425-LIGHTNING-THUNDER.wav,"['intense', 'powerful', 'naturalistic', 'majestic', 'explosive', 'abrasive']","['thunderous', 'dangerous', 'weather', 'crashing', 'thundering', 'exciting', 'run-for-cover']"
10,126924-Cat_meow_small_and_diminutive.wav,['animal'],['cat-meow']
11,13331-clock_fast.wav,"['running-late', 'flutter', 'undulate', 'warm']","['comfortable', 'purr']"
12,133467-TNDawn.wav,"['uncomfortable', 'annoying', 'mysterious', 'deep-woods', 'amazonian', 'non-threatening']","['abrasive', 'cacophonic', 'shrill', 'busy', 'full-spectrum', 'sensory', 'natural', 'brittle', 'lively', 'chippy']"
13,136155-EFX_INT_Sewing_Machine_High_Squeal_01.wav,"['impending', 'unsettling', 'happy', 'hot', 'itchy', 'focused', 'chromatic']","['sharp', 'piercing', 'grating', 'unsteady', 'squeaky', 'rhythmic', 'chirpy', 'clicky', 'reedy', 'mechanical', 'incongruent']"
14,299176-Whistle_Cheer.wav,"['startled', 'alarming']","['rough', 'sharp']"
15,14578-doing_-mouth_harp_4.wav,"['expectant', 'humorous', 'urgent']","['surprise', 'expectant', 'bouncy', 'manly']"
16,147973-Religous_Bells-01.wav,"['peaceful', 'oops', 'silly', 'movement']","['bright', 'boing']"
17,148564-ChildPouting.wav,"['anxious', 'sad', 'upset', 'displeased', 'negative', 'emotional', 'fake-crying', 'humorous', 'happy']","['vocal', 'crying', 'childlike', 'pouting', 'gutteral', 'human', 'joyous']"
18,380424-Meridian-ASMR-loop-stippling-spoken-female-veryclose-varying-intimate-plosive-sibilant-breathy-mono.wav,"['smoothed', 'intimacy', 'awkward', 'reassuring', 'whisper', 'sad']","['dialog', 'female', 'whispered', 'intimate', 'close', 'clicky', 'persistent', 'whispery', 'jarring']"
19,156721-Buzzer-Deep-Reverberant-x1-Spacious.wav,['tense'],['massive']
20,157526-MB-Turning-Pages-Quickly-03.wav,"['unpleasant', 'cautious', 'jaunty', 'urgent', 'travel', 'motion', 'trudging', 'walking', 'empty', 'sorrow', 'finality']","['grating', 'textile', 'fast', 'crisp', 'thudding', 'rhythmic', 'swinging', 'dry', 'crinkly', 'rubbing', 'scuffling', 'stepping', 'gut']"
21,161751-SFX-Reveal-Peaceful_Harmony-Long.wav,"['mellow', 'moody', 'curious', 'anguish', 'sharp', 'grainy', 'sand']","['drone', 'alien', 'fog-horn', 'tonal', 'warning', 'scratch']"
