word	type
satisfying	descriptor
blaring	descriptor
dry	descriptor
chippy	descriptor
swirl	descriptor
swooshing	descriptor
pattering	descriptor
inaudible	descriptor
stinger	descriptor
transcendent	descriptor
rich	descriptor
chime	descriptor
jar	descriptor
thin	descriptor
mesmerizing	descriptor
harmonic	descriptor
weather	descriptor
breath	descriptor
whistling	descriptor
rocky	descriptor
phone	descriptor
female	descriptor
coarse	descriptor
roaring	descriptor
reverbed	descriptor
transitional	descriptor
stifled	descriptor
filmic	descriptor
sonorous	descriptor
distorted	descriptor
broken	descriptor
sustained	descriptor
baritone	descriptor
delightful	descriptor
hateful	descriptor
squeaky	descriptor
abrasive	descriptor
police	descriptor
surprise	descriptor
ominous	descriptor
sizzling	descriptor
desperate	descriptor
plaintive	descriptor
cold	descriptor
spatial	descriptor
clicky	descriptor
stratospheric	descriptor
collecting	descriptor
smooth	descriptor
zippy	descriptor
short	descriptor
warm	descriptor
mechanistic	descriptor
whiny	descriptor
stylish	descriptor
alarming	descriptor
saturated	descriptor
soothing	descriptor
cohesive	descriptor
calculated	descriptor
blunt	descriptor
limitless	descriptor
surprising	descriptor
creepy	descriptor
crying	descriptor
tinkling	descriptor
kind	descriptor
scraping	descriptor
movement	descriptor
environmental	descriptor
jangling	descriptor
modulated	descriptor
tetra	descriptor
continuous	descriptor
passionate	descriptor
ambience	descriptor
machine	descriptor
balanced	descriptor
fluctuation	descriptor
thunderous	descriptor
wavering	descriptor
trademark	descriptor
enigmatic	descriptor
crinkly	descriptor
sweep	descriptor
almighty	descriptor
expectant	descriptor
bubbly	descriptor
talented	descriptor
drone	descriptor
watery	descriptor
energetic	descriptor
reverberant	descriptor
percussive	descriptor
rattling	descriptor
spray	descriptor
thrilling	descriptor
insistent	descriptor
scratch	descriptor
distinct	descriptor
edgy	descriptor
instrument	descriptor
thudding	descriptor
grandiose	descriptor
skilled	descriptor
motorized	descriptor
impact	descriptor
definitive	descriptor
shrill	descriptor
midtempo	descriptor
brassy	descriptor
evolving	descriptor
crunchy	descriptor
harsh	descriptor
fresh	descriptor
stunning	descriptor
harmonious	descriptor
phasing	descriptor
symphonic	descriptor
descending	descriptor
obnoxious	descriptor
conversational	descriptor
uplifting	descriptor
silky	descriptor
hypnotic	descriptor
swish	descriptor
heartfelt	descriptor
breathtaking	descriptor
gurgly	descriptor
perfect	descriptor
blissful	descriptor
jarring	descriptor
flawless	descriptor
ending	descriptor
brittle	descriptor
scanning	descriptor
scary	descriptor
masterful	descriptor
refined	descriptor
swirly	descriptor
persistent	descriptor
primal	descriptor
serene	descriptor
punctual	descriptor
muted	descriptor
whiney	descriptor
frenzied	descriptor
stepping	descriptor
dangerous	descriptor
playful	descriptor
lilting	descriptor
uproarious	descriptor
wheezy	descriptor
reverb	descriptor
tiny	descriptor
lyrical	descriptor
alien	descriptor
phased	descriptor
humming	descriptor
notable	descriptor
grainy	descriptor
sparking	descriptor
layered	descriptor
roomy	descriptor
arctic	descriptor
manly	descriptor
unsteady	descriptor
applause	descriptor
rumbling	descriptor
