word	type
blaring	descriptor
dry	descriptor
chippy	descriptor
swirl	descriptor
pattering	descriptor
stinger	descriptor
chime	descriptor
jar	descriptor
thin	descriptor
harmonic	descriptor
weather	descriptor
breath	descriptor
rocky	descriptor
phone	descriptor
female	descriptor
coarse	descriptor
transitional	descriptor
stifled	descriptor
filmic	descriptor
distorted	descriptor
broken	descriptor
sustained	descriptor
baritone	descriptor
hateful	descriptor
abrasive	descriptor
squeaky	descriptor
police	descriptor
surprise	descriptor
ominous	descriptor
sizzling	descriptor
desperate	descriptor
cold	descriptor
spatial	descriptor
clicky	descriptor
collecting	descriptor
smooth	descriptor
zippy	descriptor
short	descriptor
warm	descriptor
mechanistic	descriptor
whiny	descriptor
alarming	descriptor
soothing	descriptor
calculated	descriptor
blunt	descriptor
creepy	descriptor
crying	descriptor
tinkling	descriptor
scraping	descriptor
movement	descriptor
kind	descriptor
environmental	descriptor
tetra	descriptor
continuous	descriptor
ambience	descriptor
machine	descriptor
balanced	descriptor
fluctuation	descriptor
thunderous	descriptor
wavering	descriptor
crinkly	descriptor
sweep	descriptor
expectant	descriptor
bubbly	descriptor
drone	descriptor
watery	descriptor
energetic	descriptor
reverberant	descriptor
percussive	descriptor
spray	descriptor
scratch	descriptor
edgy	descriptor
instrument	descriptor
thudding	descriptor
motorized	descriptor
impact	descriptor
shrill	descriptor
brassy	descriptor
evolving	descriptor
crunchy	descriptor
harsh	descriptor
harmonious	descriptor
phasing	descriptor
descending	descriptor
obnoxious	descriptor
conversational	descriptor
uplifting	descriptor
silky	descriptor
swish	descriptor
gurgly	descriptor
jarring	descriptor
ending	descriptor
brittle	descriptor
scanning	descriptor
scary	descriptor
swirly	descriptor
persistent	descriptor
serene	descriptor
punctual	descriptor
muted	descriptor
whiney	descriptor
frenzied	descriptor
stepping	descriptor
dangerous	descriptor
playful	descriptor
wheezy	descriptor
reverb	descriptor
tiny	descriptor
alien	descriptor
phased	descriptor
grainy	descriptor
sparking	descriptor
layered	descriptor
roomy	descriptor
arctic	descriptor
manly	descriptor
unsteady	descriptor
applause	descriptor
rumbling	descriptor
filtered	descriptor
childlike	descriptor
awful	descriptor
ugly	descriptor
bubbling	descriptor
unzipping	descriptor
young	descriptor
pitchy	descriptor
metal	descriptor
tonal	descriptor
ticking	descriptor
raspy	descriptor
wild	descriptor
fast	descriptor
strident	descriptor
urgent	descriptor
paranormal	descriptor
