word	type
scraping	descriptor
sweep	descriptor
raw	descriptor
scary	descriptor
sports	descriptor
skittering	descriptor
spray	descriptor
uplifting	descriptor
light	descriptor
interior	descriptor
sensory	descriptor
droning	descriptor
echoey	descriptor
crinkly	descriptor
warm	descriptor
textile	descriptor
manly	descriptor
whispered	descriptor
synthetic	descriptor
rustle	descriptor
tinny	descriptor
chime	descriptor
monotonous	descriptor
expansive	descriptor
thudding	descriptor
metallic	descriptor
reversed	descriptor
electronic	descriptor
crying	descriptor
desperate	descriptor
rough	descriptor
conversational	descriptor
unzipping	descriptor
distorted	descriptor
round	descriptor
scratchy	descriptor
expectant	descriptor
harmless	descriptor
transitional	descriptor
descending	descriptor
roomy	descriptor
tiny	descriptor
scuffling	descriptor
wheezy	descriptor
blaring	descriptor
earthy	descriptor
hit	descriptor
instinctual	descriptor
purr	descriptor
reverberant	descriptor
doppler	descriptor
manufactured	descriptor
playful	descriptor
rocky	descriptor
incongruent	descriptor
paranormal	descriptor
sloshy	descriptor
energetic	descriptor
blunt	descriptor
damaged	descriptor
splashy	descriptor
pitchy	descriptor
haunting	descriptor
thunderous	descriptor
impact	descriptor
sparking	descriptor
young	descriptor
scratch	descriptor
wet	descriptor
persistent	descriptor
ring	descriptor
debris	descriptor
informative	descriptor
mechanical	descriptor
orchestral	descriptor
reedy	descriptor
quick	descriptor
nature	descriptor
muted	descriptor
collecting	descriptor
aspirational	descriptor
toy	descriptor
busy	descriptor
skillful	descriptor
bubbling	descriptor
tetra	descriptor
tripping	descriptor
pulsating	descriptor
zippy	descriptor
weather	descriptor
vocal	descriptor
whiny	descriptor
jar	descriptor
approaching	descriptor
hateful	descriptor
interstellar	descriptor
edgy	descriptor
jarring	descriptor
brassy	descriptor
dissonant	descriptor
sharp	descriptor
rubbery	descriptor
obnoxious	descriptor
mellow	descriptor
strong	descriptor
arctic	descriptor
opening	descriptor
gurgly	descriptor
chippy	descriptor
silky	descriptor
machine	descriptor
flick	descriptor
stinger	descriptor
happy	descriptor
drone	descriptor
artificial	descriptor
dangerous	descriptor
popping	descriptor
rhythmic	descriptor
annoying	descriptor
strident	descriptor
grinding	descriptor
warning	descriptor
sweetener	descriptor
reverb	descriptor
bounce	descriptor
chaotic	descriptor
filtered	descriptor
buzzy	descriptor
crinkle	descriptor
broken	descriptor
cold	descriptor
calming	descriptor
lovely	descriptor
eerie	descriptor
intrusive	descriptor
assaulting	descriptor
siren	descriptor
joyous	descriptor
squeaky	descriptor
spatial	descriptor
buzzing	descriptor
feedback	descriptor
crashing	descriptor
twinkling	descriptor
thick	descriptor
nasal	descriptor
glottal	descriptor
rounded	descriptor
angry	descriptor
midrange	descriptor
retro	descriptor
ambience	descriptor
intimate	descriptor
urgent	descriptor
cycle	descriptor
voices	descriptor
grainy	descriptor
creepy	descriptor
fluctuation	descriptor
dynamic	descriptor
soft	descriptor
resonant	descriptor
coarse	descriptor
noisy	descriptor
chill	descriptor
wailing	descriptor
empty	descriptor
liquid	descriptor
quiet	descriptor
digital	descriptor
whoosh	descriptor
swirl	descriptor
cute	descriptor
alert	descriptor
ugly	descriptor
squirt	descriptor
crunchy	descriptor
frenzied	descriptor
windy	descriptor
metal	descriptor
aggressive	descriptor
scanning	descriptor
phasing	descriptor
granular	descriptor
surprised	descriptor
movement	descriptor
filmic	descriptor
chimney	descriptor
spike	descriptor
plosive	descriptor
pouting	descriptor
anthro	descriptor
fast	descriptor
dying	descriptor
abrasive	descriptor
sublime	descriptor
scrape	descriptor
cacophonic	descriptor
comfortable	descriptor
dialog	descriptor
zipping	descriptor
staccato	descriptor
baritone	descriptor
pattering	descriptor
crescendoing	descriptor
phased	descriptor
jerk	descriptor
robust	descriptor
surprise	descriptor
muddy	descriptor
calculated	descriptor
announcing	descriptor
snap	descriptor
naturalistic	descriptor
exciting	descriptor
phone	descriptor
unsteady	descriptor
stifled	descriptor
watery	descriptor
childlike	descriptor
crashy	descriptor
slow	descriptor
orderly	descriptor
concluding	descriptor
inclusive	descriptor
brittle	descriptor
fragmented	descriptor
swinging	descriptor
ominous	descriptor
ghostly	descriptor
sustained	descriptor
deep	descriptor
dry	descriptor
motorized	descriptor
environmental	descriptor
rhythm	descriptor
frying	descriptor
falling	descriptor
melodic	descriptor
forceful	descriptor
tonal	descriptor
kind	descriptor
tinkling	descriptor
awful	descriptor
fuzzy	descriptor
boing	descriptor
raspy	descriptor
lively	descriptor
piggy	descriptor
boomy	descriptor
kerplunk	descriptor
hollow	descriptor
alarm	descriptor
human	descriptor
screechy	descriptor
thin	descriptor
swirly	descriptor
echoing	descriptor
evolving	descriptor
harsh	descriptor
hard	descriptor
whistle	descriptor
moist	descriptor
industrial	descriptor
wild	descriptor
bright	descriptor
foghorn	descriptor
alien	descriptor
balanced	descriptor
shrill	descriptor
airy	descriptor
electric	descriptor
clicky	descriptor
insect	descriptor
bracing	descriptor
breathy	descriptor
stretching	descriptor
small	descriptor
harmonious	descriptor
alarming	descriptor
rumbling	descriptor
smooth	descriptor
enticing	descriptor
short	descriptor
grating	descriptor
instrument	descriptor
gutteral	descriptor
enclosed	descriptor
tympanic	descriptor
futuristic	descriptor
gut	descriptor
bubbly	descriptor
dark	descriptor
sizzling	descriptor
crowd	descriptor
loop	descriptor
frenetic	descriptor
beating	descriptor
wavering	descriptor
relentless	descriptor
ambulance	descriptor
stepping	descriptor
robotic	descriptor
ticking	descriptor
subtle	descriptor
percussive	descriptor
female	descriptor
bouncy	descriptor
cutting	descriptor
piercing	descriptor
swish	descriptor
dour	descriptor
rubbing	descriptor
rain	descriptor
stuttering	descriptor
serene	descriptor
whispery	descriptor
notification	descriptor
safe	descriptor
stormy	descriptor
magnetic	descriptor
powerful	descriptor
mechanistic	descriptor
consistent	descriptor
wooshing	descriptor
suspended	descriptor
natural	descriptor
crisp	descriptor
vexatious	descriptor
police	descriptor
compressed	descriptor
repetitive	descriptor
musical	descriptor
continuous	descriptor
thundering	descriptor
close	descriptor
loud	descriptor
punctual	descriptor
breath	descriptor
pure	descriptor
transient	descriptor
whiney	descriptor
harmonic	descriptor
construction	descriptor
organic	descriptor
massive	descriptor
ending	descriptor
droney	descriptor
collision	descriptor
soothing	descriptor
layered	descriptor
distant	descriptor
urgency	descriptor
applause	descriptor
shallow	descriptor
chirpy	descriptor
boisterous	descriptor
thunder	descriptor
muffled	descriptor
destructive	descriptor
scary	emotion
joyful	emotion
agitated	emotion
alleviating	emotion
disturbing	emotion
nostalgic	emotion
unpleasant	emotion
irksome	emotion
uplifting	emotion
light	emotion
spontaneous	emotion
relaxing	emotion
panic	emotion
warm	emotion
unconscious	emotion
exploratory	emotion
defensive	emotion
escape	emotion
awe	emotion
conversational	emotion
expectant	emotion
satisfying	emotion
trudging	emotion
proximate	emotion
distressing	emotion
blaring	emotion
spinning	emotion
loose	emotion
reliable	emotion
confusing	emotion
cringe	emotion
playful	emotion
alerted	emotion
fearful	emotion
energetic	emotion
claustrophobic	emotion
homey	emotion
reassuring	emotion
cartoonish	emotion
mechanical	emotion
ardent	emotion
horrific	emotion
suspense	emotion
synthesized	emotion
quick	emotion
nature	emotion
busy	emotion
regal	emotion
brutal	emotion
focussed	emotion
dropping	emotion
antiseptic	emotion
warmth	emotion
funny	emotion
anticipatory	emotion
energizing	emotion
dizzy	emotion
panicked	emotion
texture	emotion
emotional	emotion
refreshing	emotion
bored	emotion
abrupt	emotion
sad	emotion
pain	emotion
peaceful	emotion
itchy	emotion
edgy	emotion
furious	emotion
jarring	emotion
dignified	emotion
strength	emotion
proud	emotion
sexy	emotion
excited	emotion
spooky	emotion
curious	emotion
sharp	emotion
mellow	emotion
strange	emotion
intriguing	emotion
alarmed	emotion
happy	emotion
finality	emotion
pause	emotion
fuzz	emotion
affection	emotion
comical	emotion
acute	emotion
oppressive	emotion
artificial	emotion
dangerous	emotion
displeased	emotion
rhythmic	emotion
annoying	emotion
swift	emotion
strident	emotion
warning	emotion
silly	emotion
peace	emotion
chaotic	emotion
oops	emotion
questioning	emotion
brash	emotion
tone	emotion
travel	emotion
fear	emotion
twinkly	emotion
calming	emotion
